index,scenario,engine_qa,countryQA,hard_count,warn_count,hard,warn
1,SA fish omnivore high variety,PASS,PASS,0,0,,
2,SA pescatarian fish focused,PASS,PASS,0,0,,
3,SA fish no dairy,PASS,PASS,0,0,,
4,SA fish lower starch,PASS,PASS,0,0,,
5,SA no fish country wording standard,PASS,PASS,0,0,,
6,SA no breakfast country wording,PASS,PASS,0,0,,
7,SA vegetarian country wording,PASS,PASS,0,0,,
8,SA vegetarian no dairy no eggs,PASS,PASS,0,0,,
9,SA vegetarian hummus breakfast,PASS,PASS,0,0,,
10,SA red meat snack country wording,PASS,PASS,0,0,,
11,US fish omnivore high variety,PASS,PASS,0,0,,
12,US pescatarian fish focused,PASS,PASS,0,0,,
13,US fish no dairy,PASS,PASS,0,0,,
14,US fish lower starch,PASS,PASS,0,0,,
15,US no fish country wording standard,PASS,PASS,0,0,,
16,US no breakfast country wording,PASS,PASS,0,0,,
17,US vegetarian country wording,PASS,PASS,0,0,,
18,US vegetarian no dairy no eggs,PASS,PASS,0,0,,
19,US vegetarian hummus breakfast,PASS,PASS,0,0,,
20,US red meat snack country wording,PASS,PASS,0,0,,
21,UK fish omnivore high variety,PASS,PASS,0,0,,
22,UK pescatarian fish focused,PASS,PASS,0,0,,
23,UK fish no dairy,PASS,PASS,0,0,,
24,UK fish lower starch,PASS,PASS,0,0,,
25,UK no fish country wording standard,PASS,PASS,0,0,,
26,UK no breakfast country wording,PASS,PASS,0,0,,
27,UK vegetarian country wording,PASS,PASS,0,0,,
28,UK vegetarian no dairy no eggs,PASS,PASS,0,0,,
29,UK vegetarian hummus breakfast,PASS,PASS,0,0,,
30,UK red meat snack country wording,PASS,PASS,0,0,,
31,AU fish omnivore high variety,PASS,PASS,0,0,,
32,AU pescatarian fish focused,PASS,PASS,0,0,,
33,AU fish no dairy,PASS,PASS,0,0,,
34,AU fish lower starch,PASS,PASS,0,0,,
35,AU no fish country wording standard,PASS,PASS,0,0,,
36,AU no breakfast country wording,PASS,PASS,0,0,,
37,AU vegetarian country wording,PASS,PASS,0,0,,
38,AU vegetarian no dairy no eggs,PASS,PASS,0,0,,
39,AU vegetarian hummus breakfast,PASS,PASS,0,0,,
40,AU red meat snack country wording,PASS,PASS,0,0,,
41,CA fish omnivore high variety,PASS,PASS,0,0,,
42,CA pescatarian fish focused,PASS,PASS,0,0,,
43,CA fish no dairy,PASS,PASS,0,0,,
44,CA fish lower starch,PASS,PASS,0,0,,
45,CA no fish country wording standard,PASS,PASS,0,0,,
46,CA no breakfast country wording,PASS,PASS,0,0,,
47,CA vegetarian country wording,PASS,PASS,0,0,,
48,CA vegetarian no dairy no eggs,PASS,PASS,0,0,,
49,CA vegetarian hummus breakfast,PASS,PASS,0,0,,
50,CA red meat snack country wording,PASS,PASS,0,0,,
