index,scenario,engine_qa,lockedQA,hard_count,warn_count,hard,warn
1,SA standard omnivore no leftovers,PASS,PASS,0,0,,
2,SA high variety no leftovers,PASS,PASS,0,0,,
3,SA no red meat no leftovers,PASS,PASS,0,0,,
4,SA lower starch no leftovers,PASS,PASS,0,0,,
5,SA no breakfast no leftovers,PASS,PASS,0,0,,
6,US standard omnivore no leftovers,PASS,PASS,0,0,,
7,US high variety no leftovers,PASS,PASS,0,0,,
8,US no red meat no leftovers,PASS,PASS,0,0,,
9,US lower starch no leftovers,PASS,PASS,0,0,,
10,US no breakfast no leftovers,PASS,PASS,0,0,,
11,UK standard omnivore no leftovers,PASS,PASS,0,0,,
12,UK high variety no leftovers,PASS,PASS,0,0,,
13,UK no red meat no leftovers,PASS,PASS,0,0,,
14,UK lower starch no leftovers,PASS,PASS,0,0,,
15,UK no breakfast no leftovers,PASS,PASS,0,0,,
16,AU standard omnivore no leftovers,PASS,PASS,0,0,,
17,AU high variety no leftovers,PASS,PASS,0,0,,
18,AU no red meat no leftovers,PASS,PASS,0,0,,
19,AU lower starch no leftovers,PASS,PASS,0,0,,
20,AU no breakfast no leftovers,PASS,PASS,0,0,,
21,CA standard omnivore no leftovers,PASS,PASS,0,0,,
22,CA high variety no leftovers,PASS,PASS,0,0,,
23,CA no red meat no leftovers,PASS,PASS,0,0,,
24,CA lower starch no leftovers,PASS,PASS,0,0,,
25,CA no breakfast no leftovers,PASS,PASS,0,0,,
26,SA vegetarian eggs dairy tofu lentils,PASS,PASS,0,0,,
27,SA vegetarian no dairy no eggs,PASS,PASS,0,0,,
28,SA vegetarian hummus breakfast,PASS,PASS,0,0,,
29,US vegetarian eggs dairy tofu lentils,PASS,PASS,0,0,,
30,US vegetarian no dairy no eggs,PASS,PASS,0,0,,
31,US vegetarian hummus breakfast,PASS,PASS,0,0,,
32,UK vegetarian eggs dairy tofu lentils,PASS,PASS,0,0,,
33,UK vegetarian no dairy no eggs,PASS,PASS,0,0,,
34,UK vegetarian hummus breakfast,PASS,PASS,0,0,,
35,AU vegetarian eggs dairy tofu lentils,PASS,PASS,0,0,,
36,AU vegetarian no dairy no eggs,PASS,PASS,0,0,,
37,AU vegetarian hummus breakfast,PASS,PASS,0,0,,
38,CA vegetarian eggs dairy tofu lentils,PASS,PASS,0,0,,
39,CA vegetarian no dairy no eggs,PASS,PASS,0,0,,
40,CA vegetarian hummus breakfast,PASS,PASS,0,0,,
41,SA pescatarian fish eggs dairy,PASS,PASS,0,0,,
42,SA pescatarian no dairy,PASS,PASS,0,0,,
43,US pescatarian fish eggs dairy,PASS,PASS,0,0,,
44,US pescatarian no dairy,PASS,PASS,0,0,,
45,UK pescatarian fish eggs dairy,PASS,PASS,0,0,,
46,UK pescatarian no dairy,PASS,PASS,0,0,,
47,AU pescatarian fish eggs dairy,PASS,PASS,0,0,,
48,AU pescatarian no dairy,PASS,PASS,0,0,,
49,CA pescatarian fish eggs dairy,PASS,PASS,0,0,,
50,CA pescatarian no dairy,PASS,PASS,0,0,,
