index,name,region,diet,engineVersion,engineSource,status,engineQA,engineHardCount,engineWarnCount,extraHardCount,extraWarnCount,hard,warn,warningKeys,days,targetDays,mainCounts,proteinTotals
1,Gate scenario 1 US mode 0,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
2,Gate scenario 2 SA mode 1,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
3,Gate scenario 3 UK mode 2,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
4,Gate scenario 4 AU mode 3,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
5,Gate scenario 5 CA mode 4,CA,pescatarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,2,,Day 6: eggs snack repeats lunch/dinner protein. | fish appears 5 times in narrow plan | eggs appears 5 times in narrow plan,narrow_fish_5|narrow_eggs_5,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,104,88,104,101,93,106]"
6,Gate scenario 6 US mode 5,US,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,4,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[72,69,88,75,93,82,86]"
7,Gate scenario 7 SA mode 6,SA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,104,91,96,82,104]"
8,Gate scenario 8 UK mode 7,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
9,Gate scenario 9 AU mode 8,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
10,Gate scenario 10 CA mode 9,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 4: dairy snack repeats lunch/dinner protein. | pork appears often across lunch/dinner count 4,main_pork_often,7,7,"{""dairy"":3,""beef"":3,""eggs"":4,""pork"":4}","[99,101,102,114,92,105,97]"
11,Gate scenario 11 US mode 10,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""beef"":3}","[106,116,110,117,115,113,117]"
12,Gate scenario 12 SA mode 11,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
13,Gate scenario 13 UK mode 12,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,99,102]"
14,Gate scenario 14 AU mode 13,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
15,Gate scenario 15 CA mode 14,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
16,Gate scenario 16 US mode 15,US,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""eggs"":3,""lentils"":3,""chickpeas"":3,""beans"":3}","[94,80,90,91,82,96,90]"
17,Gate scenario 17 SA mode 0,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
18,Gate scenario 18 UK mode 1,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
19,Gate scenario 19 AU mode 2,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
20,Gate scenario 20 CA mode 3,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
21,Gate scenario 21 US mode 4,US,pescatarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,2,,Day 6: eggs snack repeats lunch/dinner protein. | fish appears 5 times in narrow plan | eggs appears 5 times in narrow plan,narrow_fish_5|narrow_eggs_5,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,104,88,104,101,93,106]"
22,Gate scenario 22 SA mode 5,SA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,4,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[72,69,88,75,93,82,86]"
23,Gate scenario 23 UK mode 6,UK,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,104,91,96,82,104]"
24,Gate scenario 24 AU mode 7,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
25,Gate scenario 25 CA mode 8,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
26,Gate scenario 26 US mode 9,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 4: dairy snack repeats lunch/dinner protein. | pork appears often across lunch/dinner count 4,main_pork_often,7,7,"{""dairy"":3,""beef"":3,""eggs"":4,""pork"":4}","[99,101,102,114,92,105,97]"
27,Gate scenario 27 SA mode 10,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""beef"":3}","[106,116,110,117,115,113,117]"
28,Gate scenario 28 UK mode 11,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
29,Gate scenario 29 AU mode 12,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,99,102]"
30,Gate scenario 30 CA mode 13,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
31,Gate scenario 31 US mode 14,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
32,Gate scenario 32 SA mode 15,SA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""eggs"":3,""lentils"":3,""chickpeas"":3,""beans"":3}","[94,80,90,91,82,96,90]"
33,Gate scenario 33 UK mode 0,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
34,Gate scenario 34 AU mode 1,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
35,Gate scenario 35 CA mode 2,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
36,Gate scenario 36 US mode 3,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
37,Gate scenario 37 SA mode 4,SA,pescatarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,2,,Day 6: eggs snack repeats lunch/dinner protein. | fish appears 5 times in narrow plan | eggs appears 5 times in narrow plan,narrow_fish_5|narrow_eggs_5,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,104,88,104,101,93,106]"
38,Gate scenario 38 UK mode 5,UK,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,4,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[72,69,88,75,93,82,86]"
39,Gate scenario 39 AU mode 6,AU,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,104,91,96,82,104]"
40,Gate scenario 40 CA mode 7,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
41,Gate scenario 41 US mode 8,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
42,Gate scenario 42 SA mode 9,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 4: dairy snack repeats lunch/dinner protein. | pork appears often across lunch/dinner count 4,main_pork_often,7,7,"{""dairy"":3,""beef"":3,""eggs"":4,""pork"":4}","[99,101,102,114,92,105,97]"
43,Gate scenario 43 UK mode 10,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""beef"":3}","[106,116,110,117,115,113,117]"
44,Gate scenario 44 AU mode 11,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
45,Gate scenario 45 CA mode 12,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,106,98,102,112,99,102]"
46,Gate scenario 46 US mode 13,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
47,Gate scenario 47 SA mode 14,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
48,Gate scenario 48 UK mode 15,UK,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""eggs"":3,""lentils"":3,""chickpeas"":3,""beans"":3}","[94,80,90,91,82,96,90]"
49,Gate scenario 49 AU mode 0,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[95,108,105,113,116,109,98]"
50,Gate scenario 50 CA mode 1,CA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[95,105,105,98,116,102,91]"
51,Gate scenario 51 US mode 2,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,3,0,0,,Day 5: dairy snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""chicken"":4,""beef"":4,""eggs"":3}","[90,92,101,94,103,98,116]"
52,Gate scenario 52 SA mode 3,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""beef"":3,""pork"":2,""eggs"":3,""fish"":3}","[91,103,98,100,99,99,95]"
53,Gate scenario 53 UK mode 4,UK,pescatarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,2,,Day 6: eggs snack repeats lunch/dinner protein. | fish appears 5 times in narrow plan | eggs appears 5 times in narrow plan,narrow_fish_5|narrow_eggs_5,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,104,88,104,101,93,106]"
54,Gate scenario 54 AU mode 5,AU,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,4,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[72,69,88,75,93,82,86]"
55,Gate scenario 55 CA mode 6,CA,vegetarian,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,104,91,96,82,104]"
56,Gate scenario 56 US mode 7,US,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
57,Gate scenario 57 SA mode 8,SA,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""eggs"":3}","[113,106,101,115,92,106,115]"
58,Gate scenario 58 UK mode 9,UK,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 4: dairy snack repeats lunch/dinner protein. | pork appears often across lunch/dinner count 4,main_pork_often,7,7,"{""dairy"":3,""beef"":3,""eggs"":4,""pork"":4}","[99,101,102,114,92,105,97]"
59,Gate scenario 59 AU mode 10,AU,omnivore,3.4.4-release-gate-repair,rebuilt-funnel-engine-v331-us-first-plus-v344-100gen-gate-passed-candidate,ALLOWED,PASS,0,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""fish"":4,""beef"":3}","[106,116,110,117,115,113,117]"
