index,name,region,status,failures,messages
1,v345 invalid snack gate 1,US,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_dairy_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based."
2,v345 invalid snack gate 2,UK,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
3,v345 invalid snack gate 3,SA,BLOCKED,snack_protein_minimum|snack_variety_for_dairy_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
4,v345 invalid snack gate 4,AU,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_dairy_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
5,v345 invalid snack gate 5,CA,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_dairy_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
6,v345 invalid snack gate 6,US,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_dairy_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
7,v345 invalid snack gate 7,UK,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_dairy_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based."
8,v345 invalid snack gate 8,SA,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
9,v345 invalid snack gate 9,AU,BLOCKED,snack_protein_minimum|snack_variety_for_dairy_breakfast|snack_variety_for_protein_powder_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based. | Because you selected a protein shake breakfast, please choose at least 2 snack options that are not protein shake-based."
10,v345 invalid snack gate 10,CA,BLOCKED,snack_protein_minimum|snack_variety_for_eggs_breakfast|snack_variety_for_dairy_breakfast,"Please choose at least 3 snack options so your 7-day plan does not repeat the same snack too often. | Because you selected a egg breakfast, please choose at least 2 snack options that are not egg-based. | Because you selected a yoghurt/dairy breakfast, please choose at least 2 snack options that are not yoghurt/dairy-based."
