index,name,region,diet,selectedProteins,exclusions,engineVersion,engineSource,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
1,v348 valid veg-quality scenario 1 US mode 0,US,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""eggs"":2,""pork"":2,""fish"":3,""chicken"":3}","[104,114,101,114,104,103,102]"
2,v348 valid veg-quality scenario 2 UK mode 1,UK,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""fish"":3,""beef"":3}","[113,103,101,98,112,102,101]"
3,v348 valid veg-quality scenario 3 SA mode 2,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,112,98,115]"
4,v348 valid veg-quality scenario 4 AU mode 3,AU,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""chicken"":3,""beef"":3}","[112,102,102,103,114,101,101]"
5,v348 valid veg-quality scenario 5 CA mode 4,CA,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,1,0,,Day 6: protein high 119,,7,7,"{""beef"":3,""dairy"":3,""chicken"":4,""fish"":4}","[104,105,108,106,117,119,106]"
6,v348 valid veg-quality scenario 6 US mode 5,US,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
7,v348 valid veg-quality scenario 7 UK mode 6,UK,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,1,,Day 3: eggs snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: dairy snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,low lunch template variety 3,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,93,94,104,97,98,110]"
8,v348 valid veg-quality scenario 8 SA mode 7,SA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 4: eggs snack repeats lunch/dinner protein. | Day 5: fish snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,107,100,111,99,112]"
9,v348 valid veg-quality scenario 9 AU mode 8,AU,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
10,v348 valid veg-quality scenario 10 CA mode 9,CA,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
11,v348 valid veg-quality scenario 11 US mode 10,US,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
12,v348 valid veg-quality scenario 12 UK mode 11,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,100,112,101,99]"
13,v348 valid veg-quality scenario 13 SA mode 12,SA,omnivore,chicken|beef|fish|eggs|dairy,,3.4.8-veg-context-polish,rebuilt-funnel-engine-v331-us-first-plus-v348-vegetable-context-polish,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
