index,name,region,diet,selectedProteins,exclusions,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
1,Fresh v349 100-gen scenario 1 mode 0 UK,UK,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":1,""beef"":2,""pork"":2,""eggs"":3,""chicken"":3,""fish"":3}","[104,114,106,102,103,104,109]"
2,Fresh v349 100-gen scenario 2 mode 1 CA,CA,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""pork"":3,""beef"":3,""eggs"":3,""fish"":3}","[113,103,109,99,109,109,93]"
3,Fresh v349 100-gen scenario 3 mode 2 SA,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,112,98,98]"
4,Fresh v349 100-gen scenario 4 mode 3 US,US,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""chicken"":3,""eggs"":3,""beef"":3}","[112,102,110,110,114,101,92]"
5,Fresh v349 100-gen scenario 5 mode 4 AU,AU,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,ALLOWED,PASS,0,2,0,,Day 5: protein high 122 | Day 6: protein high 119,,7,6,"{""beef"":3,""dairy"":3,""chicken"":4,""fish"":4}","[104,105,108,106,122,119,106]"
6,Fresh v349 100-gen scenario 6 mode 5 UK,UK,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":3,""fish"":4}","[100,109,109,109,106,100,110]"
7,Fresh v349 100-gen scenario 7 mode 6 CA,CA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,3,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: dairy snack repeats lunch/dinner protein.,,7,7,"{""dairy"":4,""fish"":5,""eggs"":5}","[97,93,98,104,97,98,106]"
8,Fresh v349 100-gen scenario 8 mode 7 SA,SA,pescatarian,fish|eggs|dairy|protein_powder,,ALLOWED,CONDITIONAL PASS,0,4,0,,Day 3: dairy snack repeats lunch/dinner protein. | Day 4: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein. | Day 7: fish snack repeats lunch/dinner protein.,,7,7,"{""dairy"":3,""fish"":7,""eggs"":4}","[97,93,111,100,106,112,113]"
9,Fresh v349 100-gen scenario 9 mode 8 US,US,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,78,86]"
10,Fresh v349 100-gen scenario 10 mode 9 AU,AU,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""dairy"":2,""tofu"":3,""beans"":3,""lentils"":3}","[102,88,106,81,96,82,94]"
